Scheme_Name,Category,Target_Beneficiaries,Eligibility_Criteria,Benefits_Provided,Loan_Amount_or_Subsidy,Interest_Rate,Documents_Required,Application_Process,Application_Mode,Official_Website_Link,State_or_Central,State_Name
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Welfare,Small and marginal landholding farmer families,Indian resident; cultivable land ownership; excludes income tax payers and professionals,Direct income support for agricultural inputs and domestic needs,"? 6,000 per annum (in 3 tranches of ? 2,000)",NA,"Aadhaar, Landholding papers (ROR), Bank Passbook",Self-registration on portal or via CSC; State govt verification,Online,pmkisan.gov.in,Central,NA
Agriculture Infrastructure Fund (AIF),Loan,"Farmers, FPOs, PACS, SHGs, Agri-entrepreneurs",Investment in viable post-harvest management projects or community farming assets,Interest subvention and credit guarantee for post-harvest loss reduction,Up to ? 2 Crore per project,Max 9% (3% Govt subvention),"Project Report (DPR), KYC, Land Proof, Udyam Registration",Online application on AIF portal; bank appraisal and sanction,Online,agriinfra.dac.gov.in,Central,NA
PM-KUSUM (Component B),Subsidy,"Individual farmers, Water User Associations, FPOs",Contiguous cultivable land (~2 Ha); existing working boring; no grid connectivity,Replacement of diesel pumps with standalone solar pumps,60% Subsidy (30% Centre + 30% State),8-11% (Bank Loan),"Aadhaar, Khasra-Khatauni, Photo, Bank Details, Consent Form",Registration on State Nodal Agency portal; document upload,Online,mnre.gov.in,Central,NA
Pradhan Mantri Fasal Bima Yojana (PMFBY),Welfare,All farmers (loanee and non-loanee),Growing notified crops in notified areas,Comprehensive crop insurance from pre-sowing to post-harvest,Sum Insured equal to Scale of Finance,1.5% - 5% Premium,"Aadhaar, Land Records, Sowing Declaration","Apply via bank, CSC, or National Crop Insurance Portal",Both,pmfby.gov.in,Central,NA
PM Vishwakarma Scheme,Loan,Traditional artisans and craftspeople in 18 trades,Age >18; engaged in trade; one member per family; no govt employees in family,Skill upgradation; Toolkit incentive; Collateral-free loans,? 3 Lakh in two tranches,5% (8% Govt subvention),"Aadhaar, Mobile, Bank Account, Ration Card",Register at CSC; 3-stage verification,Online,pmvishwakarma.gov.in,Central,NA
Prime Minister's Employment Generation Programme (PMEGP),Startup,"Individuals (>18 yrs), SHGs, Charitable Trusts",New micro-units; 8th pass for large projects,Margin money subsidy; financial assistance for new ventures,Up to ? 50 Lakh (Mfg); ? 20 Lakh (Service),Bank Lending Rate,"Aadhaar, Project Report, Caste Certificate, EDP Certificate",Online via KVIC portal; DLTFC selection,Online,kviconline.gov.in/pmegp,Central,NA
Stand-Up India (SUI),Loan,SC/ST and/or Women entrepreneurs,"Greenfield projects in Mfg, Services, Trading; 51% stake for target groups",Facilitates bank loans for setting up first-time ventures,? 10 Lakh to ? 1 Crore,MCLR + 3% + Tenor Premium,"Identity/Address Proof, Caste Certificate, Project Report",Approach bank branch or standupmitra portal,Both,standupmitra.in,Central,NA
PM SVANidhi,Loan,Street Vendors,"Vending on/before March 24, 2020; Identity Card/CoA",Micro-credit to restart business; interest subsidy; digital cashback,"Up to ? 50,000 in tranches",7% Interest Subsidy on prompt repayment,"Aadhaar, Vending ID, KYC",Application via portal or mobile app; ULB verification,Online,pmsvanidhi.mohua.gov.in,Central,NA
Startup India Seed Fund Scheme (SISFS),Startup,DPIIT-recognized startups (<2 yrs old),Innovation-driven; < ? 10L govt support; >51% Indian ownership,"Financial assistance for POC, prototype development, market entry",Up to ? 20L (Grant); Up to ? 50L (Debt),Varies per agreement,"DPIIT Certificate, COI, Pitch Deck, KYC",Online application via Startup India portal to 3 incubators,Online,seedfund.startupindia.gov.in,Central,NA
Sukanya Samriddhi Yojana (SSY),Education,Girl children under 10 years of age,Opened by guardian; max 2 girls per family,High-interest tax-free savings for education/marriage,Max deposit: ? 1.5 Lakh per annum,8.2% (Compounded Annually),"Birth Certificate, KYC of parent, Photo",Visit designated Bank or Post Office to submit SSA-1 form,Offline,indiapost.gov.in,Central,NA
Mahila Samman Savings Certificate (MSSC),Welfare,Women and girl children,Resident Indian; Individual single-holder account,Fixed interest for 2-year tenor; 40% partial withdrawal allowed,Max deposit: ? 2 Lakh,7.5% per annum,"Aadhaar, PAN, Pay-in-Slip",Submit Form-1 at Post Office or authorized Banks,Offline,nsif.gov.in,Central,NA
Pradhan Mantri Matru Vandana Yojana (PMMVY),Welfare,Pregnant and lactating mothers,Age ?19; first live birth or second girl child,Cash incentive for nutrition and wage loss compensation,"? 5,000 - ? 6,000",NA,"Aadhaar, MCP Card, Bank Passbook, Birth Certificate",Apply at Anganwadi Centre or through PMMVY-CAS portal,Both,pmmvy-cas.nic.in,Central,NA
PM Vidya Lakshmi,Education,Indian students pursuing higher education,Secured admission to recognized Higher Education Institutions,Single window for education loans; interest subvention,Up to ? 10 Lakh (unsecured),8.1% - 18% (EBLR based),"Admission Letter, Fee Structure, Marksheets, KYC",Online via Vidya Lakshmi portal; fill Common Application Form,Online,vidyalakshmi.co.in,Central,NA
National Overseas Scholarship (NOS),Education,"SC, ST, DNT, Landless Labourer students",Master's/PhD abroad; <35 yrs; >60% marks; income < ? 8L,"Full support for foreign studies; tuition, living, and travel","Maintenance: USD 15,400/yr (USA)",NA,"Caste/Income Certificate, Marksheets, Offer Letter, Passport",Apply online on NOS portal during Feb/Mar window,Online,nosmsje.gov.in,Central,NA
Pradhan Mantri Awas Yojana - Gramin (PMAY-G),Housing,Rural houseless families,Living in kucha house; SECC 2011 deprivation markers,Financial assistance for pucca house with basic amenities,? 1.2 Lakh to ? 1.3 Lakh,NA,"Aadhaar, Bank details, MGNREGA Job Card",Verification by Gram Sabha; registration via mobile app,Both,pmayg.nic.in,Central,NA
Ayushman Bharat (PM-JAY),Health,Poor and vulnerable families (bottom 40%),SECC 2011 criteria; families with PWD or SC/ST,Cashless secondary and tertiary hospitalization cover,? 5 Lakh per family per year,NA,"Aadhaar Card, Ration Card (NFSA)",Check eligibility on portal; visit empanelled hospital,Both,pmjay.gov.in,Central,NA
Atal Pension Yojana (APY),Welfare,Workers in unorganized sector,Age 18-40; must have bank account; not income tax payer,Guaranteed minimum pension after age 60,"? 1,000 to ? 5,000 monthly pension",NA,"Aadhaar Card, Savings Bank Account",Register via bank branch or internet banking,Both,jansuraksha.gov.in,Central,NA
Bihar Student Credit Card,Education,Higher education students in Bihar,Resident of Bihar; age up to 25; completed 10+2,Financial assistance for general and professional courses,Up to ? 4 Lakh,4% (1% for PWD/Women),"Admission letter, Fee schedule, Marksheets, KYC",Apply via Awas Sahayata portal or DRCC centers,Online,7nishchay-yuvaupmission.bihar.gov.in,State,Bihar
Saraswati Cycle Yojana (CG),Education,Girl students in Class 9,Enrolled in govt schools; ST/SC/OBC/BPL category,Free bicycle for school commute to reduce dropout,Free Bicycle (In-kind),NA,"Enrollment certificate, BPL Card, Caste Certificate",Distribution through school management committees,Offline,eduportal.cg.nic.in,State,Chhattisgarh
Awasiya Vidyala Yojana (UP),Education,Children of registered construction workers,Parents registered with UP BOCW Board for ?3 years,"Free residential education, boarding, and clothing",Full residential schooling,NA,"Worker ID, Birth certificate, Previous records",Registration via the Labor Department of Uttar Pradesh,Offline,upbocw.in,State,Uttar Pradesh
Direct Lending Scheme (Punjab),Loan,SC and Handicapped people in Punjab,Resident of Punjab; SC category or ?40% disabled,Low-interest loans for income-generating small businesses,Varies by project,Concessional,"Caste/Disability Certificate, KYC, Project plan",Application to Punjab SC Land Development Corp,Offline,punjab.gov.in,State,Punjab
Unemployment Allowance (Himachal),Welfare,Educated unemployed youth of HP,Age 20-35; family income < ? 2L; 12th pass minimum,Monthly allowance for a period of up to 3 years,"? 1,000/month (Gen)",NA,"Degree/Marksheet, Employment Exchange card, Income proof",Registration at Employment Exchange; apply via portal,Online,eemis.hp.nic.in,State,Himachal Pradesh
Kanyashree Prakalpa (West Bengal),Education,Unmarried girls (13-19 yrs) in WB,Student in govt school/college; family income criteria,Annual scholarship and one-time grant for higher education,"? 1,000/yr (K1); ? 25,000 (K2)",NA,"Birth Certificate, Enrollment Proof, Income affidavit",Processed through school/college nodal officers,Online,wbkanyashree.gov.in,State,West Bengal
Udyogini Scheme (Karnataka),Startup,Women entrepreneurs in Karnataka,Age 18-55; annual income < ? 1.5 Lakh,Interest-free or subsidized loans for micro-enterprise,Up to ? 3 Lakh,Subsidized / Zero,"Aadhaar, Caste certificate, Income certificate, Business plan",Apply via Karnataka State Women's Development Corp,Online,kswdc.karnataka.gov.in,State,Karnataka
SFURTI (Traditional Industries),MSME,Traditional artisans in clusters,Functional clusters of 500+ artisans; land availability,"CFCs, infrastructure, design, and marketing support",Up to ? 5 Crore per cluster,NA,"Cluster proposal, artisan list, land docs",Apply via Nodal Agency (KVIC/Coir Board) to Ministry,Online,sfurti.msme.gov.in,Central,NA
NPS - Vatsalya,Welfare,Minors (children below 18),Opened by parent/guardian on behalf of minor,Early-start retirement planning; flexible contribution,NA (Market-linked),Variable (Returns),"Birth Certificate of minor, KYC of guardian",Register through banks or e-NPS portal,Both,enps.nsdl.com,Central,NA
Credit Guarantee Scheme for Micro & Small Enterprises (CGTMSE),MSME,New and existing Micro and Small Enterprises,Valid Udyam Registration; business viability,Collateral-free credit facility; credit guarantee for lenders,Up to ? 10 Crore,Bank Lending Rate,"Udyam Certificate, KYC, Business Plan",Through Member Lending Institutions (Banks),Online,cgtmse.in,Central,NA
PM-YASASVI (Top Class Schools),Education,"OBC, EBC, DNT students in Class 9-12",Household income < ? 2.5L; studying in identified Top Schools,"Grants for tuition, hostel fees, and school charges",Max ? 75k (9-10); ? 1.25L (11-12),NA,"Aadhaar, Income certificate, Marksheet, Caste certificate",Application via National Scholarship Portal (NSP),Online,scholarships.gov.in,Central,NA
ASPIRE (Promotion of Innovation),Startup,"Rural entrepreneurs, MSMEs, Technical institutes",Udyam registration; age >18; focus on agro-rural sector,Network of Livelihood Business Incubators; machinery support,Up to ? 1 Crore for plant/machinery,NA,"Udyam Registration, DPR, KYC",Submit proposal via Mentor Institute on ASPIRE portal,Online,aspire.msme.gov.in,Central,NA
