role,download_mb,upload_mb,session_duration_minutes,login_hour,violation_count,is_anomaly
Faculty,439.01,80.77,82.7,11,2,0
Staff,91.51,93.53,180.4,15,0,0
Guest,101.47,15.6,27.4,10,1,0
Staff,286.57,56.86,116.9,10,0,0
Faculty,671.51,123.43,342.2,11,0,0
Faculty,1054.16,301.24,224.6,14,0,0
Student,345.81,42.84,55.3,16,0,0
Staff,162.1,60.31,103.7,16,0,0
Student,577.37,52.87,110.5,17,2,0
Staff,252.57,104.02,115.4,16,0,0
Admin,775.36,36.23,109.0,3,0,1
Student,550.77,69.96,5.0,18,0,0
Guest,179.69,45.24,52.7,18,0,0
Student,175.01,130.63,132.6,8,1,0
Faculty,1050.86,135.71,138.4,13,1,0
Admin,1002.98,307.6,104.8,13,0,0
Admin,235.04,318.34,111.9,7,0,0
Faculty,496.75,64.11,66.3,15,1,0
Guest,97.48,21.01,46.9,9,1,0
Faculty,551.58,194.32,145.0,18,0,0
Guest,142.25,49.11,44.4,9,0,0
Faculty,686.5,101.33,66.1,9,1,0
Student,391.98,108.62,64.9,12,0,0
Staff,378.48,65.14,63.1,9,0,0
Staff,20.0,71.49,222.8,16,1,0
Guest,40.0,25.35,44.9,11,0,0
Student,10.0,88.22,70.9,21,0,0
Staff,271.25,54.04,1193.7,12,0,1
Faculty,567.44,24.09,128.1,9,0,0
Staff,244.03,26.74,129.2,16,1,0
Faculty,1134.02,42.77,74.2,2,0,1
Student,352.83,67.73,94.2,17,0,0
Faculty,1070.57,151.07,246.3,14,0,0
Student,597.45,57.33,64.8,18,4,0
Guest,75.38,45.38,15.7,15,1,0
Admin,297.13,334.78,264.1,8,0,0
Guest,389.01,3545.85,92.4,9,0,1
Faculty,834.44,119.87,329.6,11,0,0
Guest,108.92,25.49,38.3,10,0,0
Admin,860.26,65.82,37.5,19,9,1
Student,798.2,63.09,63.4,13,0,0
Staff,48.1,85.19,177.4,13,1,0
Student,20.44,131.46,56.9,17,0,0
Student,283.38,39.31,124.6,15,0,0
Student,378.56,75.89,91.3,22,0,0
Staff,236.49,62.2,121.5,12,0,0
Faculty,503.28,205.29,266.2,18,0,0
Student,10.0,69.34,66.7,16,0,0
Faculty,721.39,56.26,144.0,11,0,0
Faculty,425.46,182.58,203.2,12,0,0
Student,459.5,115.47,70.4,7,2,0
Admin,73.48,95.65,119.7,19,0,0
Student,399.55,112.61,61.9,16,0,0
Student,476.34,77.87,133.5,11,0,0
Guest,486.7,98.38,908.9,13,0,1
Faculty,50.0,156.92,199.6,17,0,0
Faculty,410.5,127.75,193.6,8,0,0
Admin,700.57,368.46,196.4,12,0,0
Staff,294.98,90.1,163.2,8,0,0
Staff,358.64,65.12,97.6,8,0,0
Student,645.68,80.32,85.4,13,1,0
Staff,200.31,64.38,119.3,9,1,0
Guest,138.67,6.81,43.5,20,3,0
Student,396.48,52.27,83.0,14,0,0
Admin,2360.45,1141.06,463.8,2,4,1
Student,488.49,67.82,73.6,11,0,0
Admin,503.97,310.36,91.3,6,0,0
Student,261.57,52.68,148.0,7,0,0
Guest,98.64,10.66,8.6,12,0,0
Student,83.93,97.87,135.7,12,1,0
Admin,523.7,370.05,171.1,14,0,0
Staff,261.91,55.06,49.9,9,0,0
Admin,241.16,321.28,155.2,8,0,0
Student,291.49,98.49,15.2,11,0,0
Student,512.66,84.58,103.2,10,1,0
Admin,621.08,228.12,119.8,12,0,0
Student,520.31,117.03,10.9,19,1,0
Student,521.26,26.46,131.9,9,0,0
Guest,91.77,31.04,5.0,10,0,0
Student,236.3,123.26,77.0,15,0,0
Student,198.14,38.03,89.9,12,1,0
Admin,696.1,278.11,269.5,18,0,0
Student,448.01,68.29,120.3,11,1,0
Student,382.88,2.45,37.1,14,1,0
Student,563.87,184.15,75.0,15,2,0
Staff,302.28,58.96,44.6,15,0,0
Faculty,524.05,150.88,266.2,8,0,0
Student,195.79,82.09,79.0,19,0,0
Student,632.02,121.84,71.2,10,0,0
Faculty,253.58,236.85,101.5,18,0,0
Faculty,643.54,114.53,245.8,17,0,0
Staff,370.8,81.7,89.3,17,0,0
Student,70.44,138.72,121.5,10,0,0
Admin,436.78,150.64,179.5,22,0,0
Guest,67.77,13.87,30.8,15,1,0
Student,450.47,60.87,52.6,19,0,0
Student,426.56,5.89,124.5,22,0,0
Guest,5903.39,65.76,63.9,19,0,1
Faculty,739.7,155.43,212.9,16,0,0
Student,594.76,80.33,81.8,19,2,0
Admin,588.85,348.72,133.8,8,0,0
Student,135.49,60.55,106.8,10,0,0
Student,88.12,118.69,150.7,17,0,0
Student,204.95,99.45,122.3,16,0,0
Faculty,994.06,172.49,138.1,14,0,0
Student,569.57,52.58,50.6,12,0,0
Admin,294.69,1409.41,56.0,18,0,1
Faculty,376.68,183.94,181.2,13,0,0
Staff,308.97,73.53,109.5,14,0,0
Student,302.03,7.5,100.7,14,1,0
Guest,268.55,11.2,58.7,10,0,0
Admin,10.0,131.24,267.9,15,0,0
Student,458.03,151.77,30.0,8,0,0
Student,351.29,132.89,115.4,19,1,0
Faculty,930.96,5.0,193.0,14,0,0
Guest,141.02,6.33,64.6,15,0,0
Admin,408.14,365.67,234.3,20,0,0
Guest,876.3,29.64,35.3,19,9,1
Admin,467.44,82.13,158.7,20,0,0
Student,475.39,34.92,143.1,11,2,0
Student,353.01,21.21,50.0,14,0,0
Student,471.35,67.82,107.9,11,0,0
Faculty,110.93,31.07,990.5,17,0,1
Student,310.86,1.0,92.8,14,1,0
Staff,459.42,40.31,200.5,8,1,0
Student,369.39,102.01,61.9,9,1,0
Faculty,628.07,252.95,65.4,9,1,0
Student,358.51,58.22,121.4,17,1,0
Guest,79.08,7.9,41.0,16,1,0
Guest,117.76,47.76,31.7,14,0,0
Student,24.4,37.01,125.1,10,2,0
Staff,379.5,14.33,110.8,12,0,0
Student,252.49,80.98,77.1,12,0,0
Student,273.35,102.46,95.5,17,2,0
Admin,301.91,287.28,238.1,19,1,0
Staff,299.09,87.91,89.2,14,0,0
Faculty,927.82,174.24,215.4,10,0,0
Faculty,799.76,85.24,220.6,8,0,0
Student,535.2,38.75,90.4,10,1,0
Student,435.83,194.3,102.0,21,0,0
Student,212.74,43.74,108.4,7,1,0
Admin,213.41,157.7,219.3,8,0,0
Guest,114.56,28.35,29.1,15,2,0
Student,300.21,115.57,129.0,15,2,0
Staff,379.38,33.73,94.1,15,0,0
Admin,6625.58,43.0,87.7,14,0,1
Student,256.18,104.41,88.3,15,1,0
Faculty,672.91,199.17,255.3,9,0,0
Staff,158.33,56.53,162.3,9,0,0
Student,528.15,145.1,87.6,11,0,0
Faculty,231.68,1571.56,116.1,11,0,1
Admin,829.76,259.47,216.7,16,1,0
Guest,147.71,47.79,14.3,12,1,0
Student,476.25,47.37,51.4,16,1,0
Admin,614.01,51.94,80.2,20,0,0
Faculty,828.34,185.12,148.4,11,1,0
Faculty,236.41,125.74,245.7,18,0,0
Student,331.28,17.45,114.8,16,1,0
Faculty,659.45,209.71,134.9,8,0,0
Student,139.2,145.09,86.7,14,1,0
Admin,936.36,256.41,132.9,10,0,0
Faculty,413.93,179.65,148.7,12,1,0
Staff,232.62,80.93,124.4,17,1,0
Staff,400.83,104.62,109.1,9,1,0
Student,172.17,78.27,124.7,7,0,0
Admin,673.22,206.98,260.9,8,1,0
Staff,362.87,81.86,96.9,8,0,0
Faculty,215.66,91.27,59.1,8,0,0
Student,695.89,72.4,7.8,15,0,0
Faculty,722.49,264.04,228.7,9,0,0
Student,557.42,52.07,48.7,10,1,0
Faculty,1065.32,223.55,271.3,13,0,0
Student,673.69,89.74,57.1,19,0,0
Staff,327.54,82.07,135.0,12,0,0
Faculty,773.4,161.64,169.5,12,0,0
Student,626.91,110.63,135.3,9,0,0
Student,390.86,36.81,1229.9,8,0,1
Faculty,540.02,169.58,176.7,19,0,0
Staff,4760.41,85.48,50.3,18,0,1
Faculty,1539.91,120.67,80.0,15,0,0
Student,605.38,3.14,135.2,18,0,0
Student,736.72,58.76,131.8,19,2,0
Staff,378.03,77.81,181.5,10,1,0
Student,962.89,95.01,105.2,14,4,0
Faculty,774.68,217.7,199.1,17,0,0
Faculty,630.29,170.53,190.7,18,0,0
Guest,81.61,11.1,23.5,18,0,0
Student,741.22,124.78,101.9,21,0,0
Student,573.28,90.01,110.2,15,1,0
Faculty,740.39,125.1,261.1,10,1,0
Staff,258.81,83.42,122.0,9,0,0
Student,498.29,162.56,144.5,10,1,0
Student,374.05,82.8,112.8,22,0,0
